Player,Actual,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch
Christian McCaffrey,312,67.875,0.4375,0.125,5,7.0625,7.3125,21,27.1875,40.6875,8.1,0.3125,2.3125,70.8,0.125,1.375,40,37,3.7,12.3125,5.5,67.875,0.4375,0.125,5,7.0625,7.3125,21,27.1875,40.6875,8.1,0.3125,2.3125,70.8,0.125,1.375,40,37,3.7,12.3125,5.5
Ezekiel Elliott,303.1,129.84,1,0.24,2.32,3.08,22.56,21.5,104.56,25.28,10.8,0.12,0.68,75.25,0.88,6.08,45,77.5,4.6,24.88,5.15,125.2,0.9,0.1,2.6,3.8,24.2,22,98.3,26.9,10.3,0.2,0.6,68.4,0.7,5.7,30,72,4.1,26.8,4.7
Ezekiel Elliott,241.7,132.9333333,1.066666667,0.333333333,2.133333333,2.6,21.46666667,21,108.7333333,24.2,11.3,0.066666667,0.733333333,82.1,1,6.333333333,60,83,5.1,23.6,5.6,132.9333333,1.066666667,0.333333333,2.133333333,2.6,21.46666667,21,108.7333333,24.2,11.3,0.066666667,0.733333333,82.1,1,6.333333333,60,83,5.1,23.6,5.6
Derrick Henry,221.8,48.61290323,0.35483871,0.032258065,0.774193548,1.032258065,9.225806452,22.5,39.80645161,8.806451613,11.45,0.032258065,0.290322581,75.7,0.322580645,2.225806452,48.5,47.5,4.35,10,4.9,55,0.375,0.0625,0.6875,1.0625,11,23,46.5,8.5,12.4,0.0625,0.25,64.7,0.3125,2.5,75,66,4.2,11.6875,4.7
Derrick Henry,175,41.8,0.333333333,0,0.866666667,1,7.333333333,22,32.66666667,9.133333333,10.5,0,0.333333333,86.7,0.333333333,1.933333333,22,29,4.5,8.2,5.1,41.8,0.333333333,0,0.866666667,1,7.333333333,22,32.66666667,9.133333333,10.5,0,0.333333333,86.7,0.333333333,1.933333333,22,29,4.5,8.2,5.1
Michael Thomas,231.5,76.83870968,0.451612903,0.064516129,6.322580645,8.709677419,0,23.5,0,76.83870968,12.2,0.451612903,4.290322581,72.9,0,0,0,44.5,0,6.322580645,12.2,77.8125,0.3125,0,6.5,9.3125,0,24,0,77.8125,12,0.3125,4.4375,69.8,0,0,0,43,0,6.5,12
Michael Thomas,190,75.8,0.6,0.133333333,6.133333333,8.066666667,0,23,0,75.8,12.4,0.6,4.133333333,76,0,0,0,46,0,6.133333333,12.4,75.8,0.6,0.133333333,6.133333333,8.066666667,0,23,0,75.8,12.4,0.6,4.133333333,76,0,0,0,46,0,6.133333333,12.4
Leonard Fournette,125.4,103.2307692,0.769230769,0.153846154,2.769230769,3.692307692,20.61538462,22,80,23.23076923,8.4,0.076923077,1.384615385,75,0.692307692,3.923076923,90,28,3.9,23.38461538,4.4,103.2307692,0.769230769,0.153846154,2.769230769,3.692307692,20.61538462,22,80,23.23076923,8.4,0.076923077,1.384615385,75,0.692307692,3.923076923,90,28,3.9,23.38461538,4.4
Dalvin Cook,136.5,111,0.5,0.25,2.75,4,18.5,22,88.5,22.5,8.2,0,0.75,68.8,0.5,4,33,36,4.8,21.25,5.2,111,0.5,0.25,2.75,4,18.5,22,88.5,22.5,8.2,0,0.75,68.8,0.5,4,33,36,4.8,21.25,5.2
Aaron Jones,177.9,39.16666667,0.333333333,0,0.75,1.5,6.75,23,37.33333333,1.833333333,2.4,0,0.166666667,50,0.333333333,1.916666667,46,9,5.5,7.5,5.2,39.16666667,0.333333333,0,0.75,1.5,6.75,23,37.33333333,1.833333333,2.4,0,0.166666667,50,0.333333333,1.916666667,46,9,5.5,7.5,5.2
Austin Ekeler,164.3,33.6875,0.3125,0.125,1.6875,2.1875,2.9375,22,16.25,17.4375,10.3,0.1875,0.75,77.1,0.125,0.8125,35,38,5.5,4.625,7.3,33.6875,0.3125,0.125,1.6875,2.1875,2.9375,22,16.25,17.4375,10.3,0.1875,0.75,77.1,0.125,0.8125,35,38,5.5,4.625,7.3
Chris Carson,223.4,66.75,0.25,0,1.75,2,12.25,23,52,14.75,8.4,0.25,0.75,87.5,0,3.25,30,10,4.2,14,4.8,66.75,0.25,0,1.75,2,12.25,23,52,14.75,8.4,0.25,0.75,87.5,0,3.25,30,10,4.2,14,4.8
Joe Mixon,240.9,65.21428571,0.285714286,0.214285714,2.142857143,2.428571429,12.71428571,21,44.71428571,20.5,9.6,0,0.714285714,88.2,0.285714286,2.785714286,25,67,3.5,14.85714286,4.4,65.21428571,0.285714286,0.214285714,2.142857143,2.428571429,12.71428571,21,44.71428571,20.5,9.6,0,0.714285714,88.2,0.285714286,2.785714286,25,67,3.5,14.85714286,4.4
Julio Jones,253.4,96.45263158,0.452631579,0.084210526,6.157894737,9.736842105,0.157894737,25,1.147368421,95.30526316,15.65714286,0.452631579,4.389473684,63.22857143,0,0.105263158,8.571428571,74,5.328571429,6.315789474,15.38571429,91.1875,0.1875,0,5.5,9.25,0.0625,28,0.9375,90.25,16.4,0.1875,4.1875,59.5,0,0.0625,15,53,15,5.5625,16.4
Julio Jones,197.9,97.51898734,0.506329114,0.101265823,6.291139241,9.835443038,0.17721519,24.5,1.189873418,96.32911392,15.53333333,0.506329114,4.430379747,63.85,0,0.113924051,7.5,77.5,3.716666667,6.46835443,15.21666667,100.6428571,0.428571429,0,5.928571429,9.214285714,0,27,0,100.6428571,17,0.428571429,4.571428571,64.3,0,0,0,75,0,5.928571429,17
Julio Jones,208.9,96.84615385,0.523076923,0.123076923,6.369230769,9.969230769,0.215384615,24,1.446153846,95.4,15.24,0.523076923,4.4,63.76,0,0.138461538,9,78,4.46,6.584615385,14.86,116.9375,0.5,0.1875,8.5,12.6875,0,26,0,116.9375,13.8,0.5,5.8125,67,0,0,0,70,0,8.5,13.8
Julio Jones,275.6,90.28571429,0.530612245,0.102040816,5.673469388,9.081632653,0.285714286,23.5,1.918367347,88.36734694,15.6,0.530612245,3.93877551,62.95,0,0.183673469,11.25,80,5.575,5.959183673,15.125,106.2666667,0.4,0.133333333,6.933333333,10.86666667,0.066666667,25,0.066666667,106.2,15.3,0.4,5.066666667,63.8,0,0.066666667,1,79,1,7,15.2
Julio Jones,229.9,83.23529412,0.588235294,0.088235294,5.117647059,8.294117647,0.382352941,23,2.735294118,80.5,15.7,0.588235294,3.441176471,62.66666667,0,0.235294118,14.66666667,80.33333333,7.1,5.5,15.1,117.4,0.4,0.4,8.2,11.8,0.2,24,1.4,116,14.1,0.4,5,69.5,0,0.2,7,81,7,8.4,14
Julio Jones,79.7,77.34482759,0.620689655,0.034482759,4.586206897,7.689655172,0.413793103,22.5,2.965517241,74.37931034,16.5,0.620689655,3.172413793,59.25,0,0.24137931,18.5,80,7.15,5,15.65,76.75,0.625,0,4.9375,8,0.375,23,1.875,74.875,15.2,0.625,3.5,61.7,0,0.1875,18,80,5,5.3125,14.4
Julio Jones,212.3,78.07692308,0.615384615,0.076923077,4.153846154,7.307692308,0.461538462,22,4.307692308,73.76923077,17.8,0.615384615,2.769230769,56.8,0,0.307692308,19,80,9.3,4.615384615,16.9,78.07692308,0.615384615,0.076923077,4.153846154,7.307692308,0.461538462,22,4.307692308,73.76923077,17.8,0.615384615,2.769230769,56.8,0,0.307692308,19,80,9.3,4.615384615,16.9
Chris Godwin,142.2,32.8125,0.0625,0,2.125,3.4375,0,21,0,32.8125,15.4,0.0625,1.6875,61.8,0,0,0,70,0,2.125,15.4,32.8125,0.0625,0,2.125,3.4375,0,21,0,32.8125,15.4,0.0625,1.6875,61.8,0,0,0,70,0,2.125,15.4
Alvin Kamara,318.2,97.125,0.8125,0.0625,5.0625,6.25,7.5,22,45.5,51.625,10.2,0.3125,2.375,81,0.5,2.625,74,40,6.1,12.5625,7.7,97.125,0.8125,0.0625,5.0625,6.25,7.5,22,45.5,51.625,10.2,0.3125,2.375,81,0.5,2.625,74,40,6.1,12.5625,7.7
